B19013B_001E,name,county,county subdivision,state
-666666666.0,"Tomlinson township, Logan County, Arkansas",083,93619,05
-666666666.0,"East Roanoke township, Randolph County, Arkansas",121,91204,05
-666666666.0,"Wharton township, Madison County, Arkansas",087,93976,05
-666666666.0,"Tyler township, Prairie County, Arkansas",117,93654,05
-666666666.0,"Caddo Gap township, Montgomery County, Arkansas",097,90595,05
-666666666.0,"Black River-Marshell township, Independence County, Arkansas",063,90343,05
-666666666.0,"Alamo township, Montgomery County, Arkansas",097,90013,05
-666666666.0,"Black Springs township, Montgomery County, Arkansas",097,90346,05
-666666666.0,"Fannie township, Montgomery County, Arkansas",097,91273,05
-666666666.0,"Hopper township, Montgomery County, Arkansas",097,91765,05
14643.0,"Township 1, Calhoun County, Arkansas",013,93627,05
-666666666.0,"West Prairie township, Poinsett County, Arkansas",111,93973,05
-666666666.0,"Township 3, Calhoun County, Arkansas",013,93631,05
29041.0,"Tyronza township, Crittenden County, Arkansas",035,93655,05
-666666666.0,"Township 5, Calhoun County, Arkansas",013,93635,05
-666666666.0,"Township 2, Calhoun County, Arkansas",013,93629,05
28750.0,"Township 4, Calhoun County, Arkansas",013,93633,05
-666666666.0,"Township 6, Calhoun County, Arkansas",013,93637,05
-666666666.0,"Township 7, Calhoun County, Arkansas",013,93639,05
-666666666.0,"Twist township, Cross County, Arkansas",037,93652,05
-666666666.0,"Tontitown township, Washington County, Arkansas",143,93623,05
-666666666.0,"East Fork township, Faulkner County, Arkansas",045,91199,05
-666666666.0,"Traskwood township, Saline County, Arkansas",125,93648,05
-666666666.0,"Mount Ida township, Montgomery County, Arkansas",097,92620,05
-666666666.0,"Norman township, Montgomery County, Arkansas",097,92701,05
-666666666.0,"Oden township, Montgomery County, Arkansas",097,92737,05
-666666666.0,"Sims township, Montgomery County, Arkansas",097,93385,05
-666666666.0,"Tyler township, Perry County, Arkansas",105,93653,05
27772.0,"Township 8, Calhoun County, Arkansas",013,93641,05
17188.0,"Township 9, Calhoun County, Arkansas",013,93643,05
-666666666.0,"Bennett-Lemmons township, Clay County, Arkansas",021,90232,05
-666666666.0,"Bradshaw-Haywood township, Clay County, Arkansas",021,90448,05
-666666666.0,"Brown-Carpenter township, Clay County, Arkansas",021,90496,05
-666666666.0,"Cache-Wilson township, Clay County, Arkansas",021,90589,05
-666666666.0,"Chalk Bluff-Liddell township, Clay County, Arkansas",021,90757,05
-666666666.0,"Cleveland-North Kilgore township, Clay County, Arkansas",021,90874,05
-666666666.0,"East Oak Bluff-Blue Cane township, Clay County, Arkansas",021,91201,05
-666666666.0,"Payne-Swain township, Clay County, Arkansas",021,92836,05
-666666666.0,"Gleghorn-South Kilgore township, Clay County, Arkansas",021,91474,05
63176.0,"Behestian township, Ouachita County, Arkansas",103,90213,05
-666666666.0,"North St. Francis township, Clay County, Arkansas",021,92719,05
-666666666.0,"South St. Francis township, Clay County, Arkansas",021,93439,05
-666666666.0,"West Oak Bluff township, Clay County, Arkansas",021,93971,05
-666666666.0,"Tomlinson township, Scott County, Arkansas",127,93620,05
-666666666.0,"Tubal township, Union County, Arkansas",139,93650,05
-666666666.0,"East Griggs township, Van Buren County, Arkansas",141,91200,05
-666666666.0,"Formosa township, Van Buren County, Arkansas",141,91318,05
-666666666.0,"Holly Mountain township, Van Buren County, Arkansas",141,91750,05
-666666666.0,"West Griggs township, Van Buren County, Arkansas",141,93970,05
-666666666.0,"Turkey Creek township, Stone County, Arkansas",137,93651,05
-666666666.0,"Marais Saline township, Ashley County, Arkansas",003,92365,05
-666666666.0,"Township 1, Benton County, Arkansas",007,93626,05
-666666666.0,"Township 2, Benton County, Arkansas",007,93628,05
59659.0,"Township 3, Benton County, Arkansas",007,93630,05
54792.0,"Township 4, Benton County, Arkansas",007,93632,05
-666666666.0,"Township 5, Benton County, Arkansas",007,93634,05
71458.0,"Township 6, Benton County, Arkansas",007,93636,05
139375.0,"Township 7, Benton County, Arkansas",007,93638,05
-666666666.0,"Township 8, Benton County, Arkansas",007,93640,05
59254.0,"Township 9, Benton County, Arkansas",007,93642,05
-666666666.0,"Township 11, Benton County, Arkansas",007,93645,05
-666666666.0,"Marion County township, Marion County, Arkansas",089,92398,05
21736.0,"Township 10, Benton County, Arkansas",007,93644,05
-666666666.0,"Township 12, Benton County, Arkansas",007,93646,05
49625.0,"Township 13, Benton County, Arkansas",007,93647,05
-666666666.0,"East Sullivan township, Sharp County, Arkansas",135,91205,05
-666666666.0,"Totten township, Lonoke County, Arkansas",085,93625,05
-666666666.0,"Big Bottom-Wycough-Logan township, Independence County, Arkansas",063,90250,05
-666666666.0,"Cushman-Union township, Independence County, Arkansas",063,90994,05
-666666666.0,"Madison township, Grant County, Arkansas",053,92334,05
-666666666.0,"Washington township, Grant County, Arkansas",053,93912,05
-666666666.0,"Davis township, Grant County, Arkansas",053,91032,05
-666666666.0,"River township, Grant County, Arkansas",053,93192,05
-666666666.0,"Franklin township, Grant County, Arkansas",053,91347,05
-666666666.0,"Fenter township, Grant County, Arkansas",053,91287,05
23296.0,"Mississippi township, Crittenden County, Arkansas",035,92508,05
-666666666.0,"Lucas township, Crittenden County, Arkansas",035,92298,05
55179.0,"Jasper township, Crittenden County, Arkansas",035,91908,05
-666666666.0,"Wappanocca township, Crittenden County, Arkansas",035,93873,05
23250.0,"Bob Ward township, Crittenden County, Arkansas",035,90384,05
45947.0,"Proctor township, Crittenden County, Arkansas",035,93033,05
-666666666.0,"Cobb township, Franklin County, Arkansas",047,90885,05
-666666666.0,"Morgan township, Franklin County, Arkansas",047,92559,05
-666666666.0,"Black Oak township, Crittenden County, Arkansas",035,90333,05
-666666666.0,"Mountain township, Franklin County, Arkansas",047,92592,05
-666666666.0,"Weaver township, Franklin County, Arkansas",047,93954,05
17031.0,"Jackson township, Crittenden County, Arkansas",035,91857,05
-666666666.0,"Mound City township, Crittenden County, Arkansas",035,92580,05
18580.0,"Fogleman township, Crittenden County, Arkansas",035,91314,05
-666666666.0,"Arbana township, Stone County, Arkansas",137,90053,05
-666666666.0,"Reed township, Washington County, Arkansas",143,93102,05
-666666666.0,"Crawford township, Washington County, Arkansas",143,90957,05
-666666666.0,"Elm Springs township, Washington County, Arkansas",143,91233,05
-666666666.0,"Roasting Ear township, Stone County, Arkansas",137,93207,05
-666666666.0,"Bryan township, Stone County, Arkansas",137,90519,05
-666666666.0,"Brush Creek township, Washington County, Arkansas",143,90501,05
-666666666.0,"Cove Creek township, Washington County, Arkansas",143,90945,05
-666666666.0,"Farmington township, Washington County, Arkansas",143,91274,05
-666666666.0,"Illinois township, Washington County, Arkansas",143,91815,05
-666666666.0,"Prairie township, Washington County, Arkansas",143,93018,05
-666666666.0,"Prairie Grove township, Washington County, Arkansas",143,93024,05
-666666666.0,"West Fork township, Washington County, Arkansas",143,93969,05
-666666666.0,"Winslow township, Washington County, Arkansas",143,94104,05
-666666666.0,"Lincoln township, Washington County, Arkansas",143,92213,05
-666666666.0,"Litteral township, Washington County, Arkansas",143,92217,05
-666666666.0,"Marrs Hill township, Washington County, Arkansas",143,92400,05
-666666666.0,"Washington township, Van Buren County, Arkansas",141,93933,05
-666666666.0,"Jefferson township, Saline County, Arkansas",125,91947,05
-666666666.0,"Craig township, Van Buren County, Arkansas",141,90951,05
55789.0,"Bryant township, Saline County, Arkansas",125,90522,05
-666666666.0,"Archey Valley township, Van Buren County, Arkansas",141,90054,05
-666666666.0,"Choctaw township, Van Buren County, Arkansas",141,90789,05
-666666666.0,"Calhoun township, Prairie County, Arkansas",117,90612,05
-666666666.0,"Union township, Prairie County, Arkansas",117,93717,05
-666666666.0,"White River township, Prairie County, Arkansas",117,94023,05
-666666666.0,"Bullard township, Prairie County, Arkansas",117,90543,05
-666666666.0,"Center township, Prairie County, Arkansas",117,90738,05
-666666666.0,"Belcher township, Prairie County, Arkansas",117,90216,05
30156.0,"Hazen township, Prairie County, Arkansas",117,91650,05
29464.0,"Lower Surrounded Hill township, Prairie County, Arkansas",117,92289,05
-666666666.0,"Des Arc township, Prairie County, Arkansas",117,91083,05
18077.0,"Franklin township, Union County, Arkansas",139,91365,05
-666666666.0,"Garner township, Union County, Arkansas",139,91440,05
-666666666.0,"Harrison township, Union County, Arkansas",139,91620,05
71023.0,"Wesson township, Union County, Arkansas",139,93966,05
22000.0,"Lapile township, Union County, Arkansas",139,92121,05
23056.0,"Smackover township, Union County, Arkansas",139,93396,05
-666666666.0,"Cornie township, Union County, Arkansas",139,90924,05
16611.0,"Johnson township, Union County, Arkansas",139,91986,05
-666666666.0,"Norphlet township, Union County, Arkansas",139,92703,05
-666666666.0,"Van Buren township, Union County, Arkansas",139,93777,05
-666666666.0,"Boone township, Union County, Arkansas",139,90408,05
-666666666.0,"Jackson township, Union County, Arkansas",139,91884,05
31231.0,"Wilmington township, Union County, Arkansas",139,94074,05
22656.0,"Henderson township, Union County, Arkansas",139,91665,05
26908.0,"El Dorado township, Union County, Arkansas",139,91218,05
20500.0,"De View township, Woodruff County, Arkansas",147,91092,05
-666666666.0,"Pumpkin Bend township, Woodruff County, Arkansas",147,93045,05
-666666666.0,"Barnes township, Woodruff County, Arkansas",147,90114,05
-666666666.0,"Garden township, Woodruff County, Arkansas",147,91419,05
14948.0,"Cotton Plant township, Woodruff County, Arkansas",147,90927,05
-666666666.0,"Dent township, Woodruff County, Arkansas",147,91068,05
-666666666.0,"Franks township, Woodruff County, Arkansas",147,91371,05
-666666666.0,"Freeman township, Woodruff County, Arkansas",147,91380,05
-666666666.0,"Cache township, Woodruff County, Arkansas",147,90588,05
17292.0,"Augusta township, Woodruff County, Arkansas",147,90078,05
-666666666.0,"White River township, Woodruff County, Arkansas",147,94029,05
-666666666.0,"Mountain township, Van Buren County, Arkansas",141,92610,05
-666666666.0,"Cadron township, Van Buren County, Arkansas",141,90603,05
-666666666.0,"Barnett township, Van Buren County, Arkansas",141,90117,05
-666666666.0,"Union township, Van Buren County, Arkansas",141,93729,05
-666666666.0,"Culpepper township, Van Buren County, Arkansas",141,90987,05
-666666666.0,"Bradley township, Van Buren County, Arkansas",141,90444,05
-666666666.0,"Linn Creek township, Van Buren County, Arkansas",141,92214,05
-666666666.0,"Wheeler township, Van Buren County, Arkansas",141,93984,05
-666666666.0,"Liberty township, Van Buren County, Arkansas",141,92190,05
-666666666.0,"Red River township, Van Buren County, Arkansas",141,93093,05
-666666666.0,"Davis township, Van Buren County, Arkansas",141,91035,05
-666666666.0,"Indian Rock township, Van Buren County, Arkansas",141,91830,05
-666666666.0,"Cargile township, Van Buren County, Arkansas",141,90660,05
-666666666.0,"Bryan township, Boone County, Arkansas",009,90507,05
-666666666.0,"Zinc township, Boone County, Arkansas",009,94134,05
-666666666.0,"Jackson township, Boone County, Arkansas",009,91848,05
-666666666.0,"Long Creek township, Boone County, Arkansas",009,92268,05
-666666666.0,"North Harrison township, Boone County, Arkansas",009,92715,05
-666666666.0,"Summit township, Boone County, Arkansas",009,93552,05
-666666666.0,"Ewing township, Boone County, Arkansas",009,91260,05
-666666666.0,"Lee township, Boone County, Arkansas",009,92133,05
-666666666.0,"Prairie township, Boone County, Arkansas",009,92979,05
-666666666.0,"Batavia township, Boone County, Arkansas",009,90144,05
-666666666.0,"Gaither township, Boone County, Arkansas",009,91404,05
-666666666.0,"Jefferson township, Boone County, Arkansas",009,91914,05
-666666666.0,"Bellefonte township, Boone County, Arkansas",009,90219,05
-666666666.0,"Blythe township, Boone County, Arkansas",009,90375,05
-666666666.0,"Carrollton township, Boone County, Arkansas",009,90678,05
-666666666.0,"Elixir township, Boone County, Arkansas",009,91224,05
-666666666.0,"Olvey township, Boone County, Arkansas",009,92757,05
-666666666.0,"Omaha township, Boone County, Arkansas",009,92760,05
-666666666.0,"South Harrison township, Boone County, Arkansas",009,93435,05
-666666666.0,"Sugar Loaf township, Boone County, Arkansas",009,93522,05
-666666666.0,"Mill Creek township, Izard County, Arkansas",065,92475,05
-666666666.0,"Big Spring township, Izard County, Arkansas",065,90306,05
-666666666.0,"Bryan township, Izard County, Arkansas",065,90513,05
-666666666.0,"Caney township, Woodruff County, Arkansas",147,90657,05
-666666666.0,"Point township, Woodruff County, Arkansas",147,92934,05
-666666666.0,"Cadron township, Cleburne County, Arkansas",023,90597,05
-666666666.0,"Francis township, Cleburne County, Arkansas",023,91329,05
-666666666.0,"Mountain township, Cleburne County, Arkansas",023,92583,05
-666666666.0,"Pickens township, Cleburne County, Arkansas",023,92874,05
-666666666.0,"Sugar Loaf township, Cleburne County, Arkansas",023,93525,05
-666666666.0,"Wilburn township, Cleburne County, Arkansas",023,94053,05
-666666666.0,"Clayton township, Cleburne County, Arkansas",023,90828,05
-666666666.0,"Heber township, Cleburne County, Arkansas",023,91656,05
-666666666.0,"Healing Springs township, Cleburne County, Arkansas",023,91653,05
-666666666.0,"Piney township, Cleburne County, Arkansas",023,92901,05
-666666666.0,"Giles township, Cleburne County, Arkansas",023,91458,05
-666666666.0,"Saline township, Cleburne County, Arkansas",023,93294,05
-666666666.0,"Grassey township, Cleburne County, Arkansas",023,91493,05
-666666666.0,"McJester township, Cleburne County, Arkansas",023,92319,05
-666666666.0,"Morgan township, Cleburne County, Arkansas",023,92556,05
-666666666.0,"Valley township, Cleburne County, Arkansas",023,93750,05
-666666666.0,"Center Post township, Cleburne County, Arkansas",023,90750,05
-666666666.0,"Poff township, Cleburne County, Arkansas",023,92931,05
-666666666.0,"California township, Cleburne County, Arkansas",023,90615,05
-666666666.0,"Peter Creek township, Cleburne County, Arkansas",023,92853,05
-666666666.0,"Sugar Camp township, Cleburne County, Arkansas",023,93510,05
-666666666.0,"Pine township, Cleburne County, Arkansas",023,92886,05
-666666666.0,"Lee township, Cleveland County, Arkansas",025,92136,05
21250.0,"Kingsland township, Cleveland County, Arkansas",025,92049,05
-666666666.0,"Miller township, Cleveland County, Arkansas",025,92493,05
-666666666.0,"Union township, Izard County, Arkansas",065,93693,05
-666666666.0,"Baker township, Izard County, Arkansas",065,90087,05
-666666666.0,"Guthrie township, Izard County, Arkansas",065,91572,05
-666666666.0,"Jefferson township, Izard County, Arkansas",065,91926,05
-666666666.0,"Claiborne township, Izard County, Arkansas",065,90798,05
-666666666.0,"Drytown township, Izard County, Arkansas",065,91149,05
-666666666.0,"Strawberry township, Izard County, Arkansas",065,93501,05
-666666666.0,"White River township, Izard County, Arkansas",065,94014,05
-666666666.0,"Athens township, Izard County, Arkansas",065,90072,05
-666666666.0,"Sage township, Izard County, Arkansas",065,93264,05
-666666666.0,"Violet Hill township, Izard County, Arkansas",065,93816,05
-666666666.0,"New Hope township, Izard County, Arkansas",065,92679,05
-666666666.0,"Pleasant Hill township, Izard County, Arkansas",065,92916,05
-666666666.0,"Lafferty township, Izard County, Arkansas",065,92079,05
-666666666.0,"Mount Olive township, Izard County, Arkansas",065,92622,05
-666666666.0,"Barren Fork township, Izard County, Arkansas",065,90129,05
-666666666.0,"Lunenburg township, Izard County, Arkansas",065,92301,05
-666666666.0,"Gid township, Izard County, Arkansas",065,91452,05
-666666666.0,"Guion township, Izard County, Arkansas",065,91557,05
-666666666.0,"Franklin township, Izard County, Arkansas",065,91353,05
-666666666.0,"Newburg township, Izard County, Arkansas",065,92673,05
-666666666.0,"Lacrosse township, Izard County, Arkansas",065,92061,05
-666666666.0,"Hill township, Independence County, Arkansas",063,91725,05
-666666666.0,"Ashley township, Independence County, Arkansas",063,90069,05
-666666666.0,"Barren township, Independence County, Arkansas",063,90123,05
-666666666.0,"Washington township, Independence County, Arkansas",063,93915,05
-666666666.0,"Magness township, Independence County, Arkansas",063,92346,05
-666666666.0,"Ruddell township, Independence County, Arkansas",063,93249,05
-666666666.0,"Departee township, Independence County, Arkansas",063,91074,05
-666666666.0,"Huff township, Independence County, Arkansas",063,91794,05
-666666666.0,"Relief township, Independence County, Arkansas",063,93111,05
-666666666.0,"White River township, Independence County, Arkansas",063,94011,05
-666666666.0,"Saline township, Cleveland County, Arkansas",025,93297,05
-666666666.0,"Redland township, Cleveland County, Arkansas",025,93069,05
-666666666.0,"Bryan township, Jackson County, Arkansas",067,90516,05
-666666666.0,"Glass township, Jackson County, Arkansas",067,91470,05
22383.0,"Union township, Jackson County, Arkansas",067,93696,05
-666666666.0,"Bird township, Jackson County, Arkansas",067,90315,05
-666666666.0,"Rowell township, Cleveland County, Arkansas",025,93243,05
18526.0,"Rison township, Cleveland County, Arkansas",025,93183,05
-666666666.0,"Bowman township, Cleveland County, Arkansas",025,90438,05
-666666666.0,"Harper township, Cleveland County, Arkansas",025,91611,05
46196.0,"Niven township, Cleveland County, Arkansas",025,92691,05
-666666666.0,"White Oak township, Cleveland County, Arkansas",025,94002,05
-666666666.0,"Hurricane township, Cleveland County, Arkansas",025,91800,05
-666666666.0,"Smith township, Cleveland County, Arkansas",025,93405,05
-666666666.0,"Whiteville township, Cleveland County, Arkansas",025,94038,05
-666666666.0,"Hudgin township, Cleveland County, Arkansas",025,91785,05
-666666666.0,"Breckenridge township, Jackson County, Arkansas",067,90459,05
-666666666.0,"Grubbs township, Jackson County, Arkansas",067,91554,05
-666666666.0,"Bateman township, Jackson County, Arkansas",067,90147,05
-666666666.0,"Cache township, Jackson County, Arkansas",067,90579,05
-666666666.0,"Village township, Jackson County, Arkansas",067,93804,05
-666666666.0,"Cow Lake township, Jackson County, Arkansas",067,90948,05
-666666666.0,"Richwoods township, Jackson County, Arkansas",067,93165,05
-666666666.0,"Glaize township, Jackson County, Arkansas",067,91467,05
-666666666.0,"Jefferson township, Jackson County, Arkansas",067,91929,05
-666666666.0,"Barren township, Jackson County, Arkansas",067,90126,05
40417.0,"Wallaceburg township, Hempstead County, Arkansas",057,93849,05
47647.0,"Bois d'Arc township, Hempstead County, Arkansas",057,90396,05
-666666666.0,"Mine Creek township, Hempstead County, Arkansas",057,92499,05
-666666666.0,"Noland township, Hempstead County, Arkansas",057,92700,05
-666666666.0,"Redland township, Hempstead County, Arkansas",057,93072,05
-666666666.0,"Garland township, Hempstead County, Arkansas",057,91431,05
-666666666.0,"Springhill township, Hempstead County, Arkansas",057,93474,05
50833.0,"Water Creek township, Hempstead County, Arkansas",057,93942,05
-666666666.0,"Bodcaw township, Hempstead County, Arkansas",057,90387,05
29938.0,"De Roan township, Hempstead County, Arkansas",057,91077,05
21213.0,"Saline township, Hempstead County, Arkansas",057,93303,05
35588.0,"Ozan township, Hempstead County, Arkansas",057,92802,05
-666666666.0,"Strawberry township, Sharp County, Arkansas",135,93507,05
-666666666.0,"Richwoods township, Sharp County, Arkansas",135,93174,05
-666666666.0,"Highland township, Sharp County, Arkansas",135,91719,05
-666666666.0,"Jackson township, Sharp County, Arkansas",135,91881,05
-666666666.0,"Lower North township, Sharp County, Arkansas",135,92286,05
-666666666.0,"South Union township, Sharp County, Arkansas",135,93441,05
-666666666.0,"Salado township, Independence County, Arkansas",063,93285,05
-666666666.0,"Davidson township, Sharp County, Arkansas",135,91029,05
-666666666.0,"Dota township, Independence County, Arkansas",063,91128,05
-666666666.0,"McHue township, Independence County, Arkansas",063,92313,05
-666666666.0,"Liberty township, Independence County, Arkansas",063,92169,05
-666666666.0,"Oil Trough township, Independence County, Arkansas",063,92739,05
-666666666.0,"Fairview township, Independence County, Arkansas",063,91272,05
-666666666.0,"Gainsboro township, Independence County, Arkansas",063,91401,05
-666666666.0,"Jefferson township, Independence County, Arkansas",063,91923,05
-666666666.0,"Greenbrier township, Independence County, Arkansas",063,91509,05
-666666666.0,"Lone Pine township, Lincoln County, Arkansas",079,92262,05
-666666666.0,"Moorefield township, Independence County, Arkansas",063,92550,05
-666666666.0,"Rosie township, Independence County, Arkansas",063,93234,05
18000.0,"Spring township, Lincoln County, Arkansas",079,93453,05
-666666666.0,"Kimbrough township, Lincoln County, Arkansas",079,92043,05
34583.0,"Bartholomew township, Lincoln County, Arkansas",079,90135,05
24728.0,"Cane Creek township, Lincoln County, Arkansas",079,90639,05
20096.0,"Gould township, Lincoln County, Arkansas",079,91488,05
-666666666.0,"Smith township, Lincoln County, Arkansas",079,93414,05
13667.0,"Choctaw township, Lincoln County, Arkansas",079,90786,05
-666666666.0,"Auburn township, Lincoln County, Arkansas",079,90075,05
-666666666.0,"Wells Bayou township, Lincoln County, Arkansas",079,93963,05
-666666666.0,"Mill Creek township, Lincoln County, Arkansas",079,92478,05
-666666666.0,"Owen township, Lincoln County, Arkansas",079,92793,05
-666666666.0,"Clark township, Logan County, Arkansas",083,90807,05
